SLC38A5,UQCR10,
LIMD1-AS1,SCO1,
PRMT2,AGPAT2,
MIDEAS,LOC554206,
TPSAB1,TRABD,
HAMP,INO80E,
MRPL41,ZBTB42,
ROCK2,HCG26,
ELF3,ARAP1,
ISL2,UCK1,
MACROH2A1,AK2,
CFAP300,WNK4,
EP400,TCN2,
CSF3R,RBCK1,
SNORA71A,EDF1,
PRRX2,CHMP6,
SULF1,CHRM1,
SNX12,H2AC25,
NRP1,CLPP,
GAS2L1,RAB5C,
DDAH1,ELP5,
MEAK7,CLN8,
MTRFR,VSIG4,
PA2G4,ZNF740,
OSM,SIGMAR1,
H2AC21,CYBC1,
ADGRB2,BACH2,
SNORA11,PDE6B,
SYK,MMP9,
GAPDH,RBPJ,
SRRM2,OTUD6B,
PIK3C2G,LILRA3,
DGKE,TMEM230,
GSK3A,TNIP2,
STIMATE,TNFRSF10B,
TOX3,OMA1,
GNL3,ETS1,
FLRT2,YJU2,
NUP188,STRN4,
LINC02875,STX18,
ACTN4,RBM23,
LOC644189,PMPCA,
TOR1A,RAB14,
GATAD2B,CHCHD1,
AK1,STOM,
CDCA4,BMPR2,
PLGLB1,DGKQ,
ZMYND8,CDK9,
HMGXB3,AIMP1,
BDP1,ZNF737,
LPAR1,SERPING1,
CDC42EP2,CCNG2,
BCAT1,MAF1,
SORD,GPATCH3,
PIK3CD,SNORD8,
RPL22,RPL12,
NKX3-2,SLC35A4,
CPT1B,NT5C,
OAZ3,YY1,
AURKB,EIF4E3,
CDH13,WFDC11,
CNOT4,TRIM52-AS1,
CORO2A,ZDHHC12,
SYNC,MPEG1,
SCUBE2,TMEM128,
MYCT1,BDH2,
USP33,ZNF141,
THAP6,COX18,
NEURL3,NSA2,
NEFM,USP38,
PC,ANKRD46,
LRRC32,MAZ,
KITLG,RPS6KA4,
MYLK4,SLC7A6OS,
CALCRL,CLDN11,
BGN,CHN1,
CLIC2,ECE1,
RPH3AL,SPAG1,
RGS20,MRPL20-AS1,
ZNF417,RSBN1L,
HPX,MPZ,
ADGRF5,IFIH1,
PCDH18,RPL36,
SFXN5,FBXO31,
AJAP1,SFMBT2,
PDGFRA,KCNN4,
SLC1A3,TPGS1,
IFFO1,GPR15,
IGLL3P,SLFN13,
NOL9,ZNF776,
SLC43A2,NEXN,
LINC00426,HNRNPK,
TCIM,PRAME,
MSANTD3,DPP7,
CXCR2,ZNFX1,
CPA3,IL11RA,
KL,RPL29,
ELOVL2,IFI27,
MCEMP1,SWT1,
ESAM,MED26,
NFIL3,GSG1L,
NUAK1,ING3,
TAGLN,CUTC,
CACFD1,CTSB,
SERPINE1,PSMC6,
LOC440910,ABCD4,
LINC03025,ABHD2,
SERTAD4,CARNMT1,
SARDH,FAH,
PDLIM2,SH3BP2,
MRPL2,ZNF490,
ANG,ARHGAP45,
HTN1,ADAR,
FHL3,BCL11B,
CD93,METTL23,
MIR185,TNFRSF14,
ACTA2,CCDC50,
TRIML2,PAPOLA,
PRKCD,ATP6V0D2,
HBB,ARID4A,
SNTA1,TRMO,
MLH1,SLC2A9,
KCNT2,USP21,
FLNC,VSIG10,
TRUB2,SLC7A11,
FBXL22,ADCY2,
CORO6,LOC283788,
SPINK6,NIPSNAP3A,
PNOC,LINC00499,
LOC100133920,KPNA5,
PTPRA,PSMB8-AS1,
PTGS2,KRTAP22-2,
PRSS42P,RPL37,
TP53I11,BRMS1,
TYW1B,PPP2R3C,
GSTM5,MRPL10,
KDM5D,ZNF43,
ALDH1A3,TINCR,
SDF2,ZBTB45,
TRIM56,ING4,
SH3GL3,APBA3,
OLFML2B,RACK1,
RPL27A,ANKRD50,
NLGN4Y,ACTR6,
DPRX,CYREN,
SEPTIN6,TMEM170A,
GNL3L,PYURF,
FAM107A,TMEM44,
VAMP1,RPS27,
SERHL2,MIR503HG,
YKT6,RPS14,
WWC3,PPP4R3A,
CXCL2,CSTF2T,
COL6A1,GATC,
CRSP8P,CD109,
CCL20,ATP5F1D,
ARL9,SRBD1,
HDC,ZNF571,
SSH1,RPL30,
LOC100507547,RC3H2,
TSC22D3,ASPHD2,
ADGRG7,PTRHD1,
SCGN,TEFM,
GALNT15,MAP3K3,
GAS1,CCDC69,
MRPS6,ANAPC2,
VAMP3,PSMD10,
ADAMTS1,KDM7A,
CISD2,ENTR1,
TNFRSF17,RPL13A,
MAN1A1,PDHB,
GIT2,GOSR2,
RAC2,ST7,
CFB,DPM3,
CIMIP2A,LINC02981,
FPR1,NAT9,
GALK2,BLCAP,
CCDC134,BEAN1,
ACCS,UBE2D1,
CLEC14A,SLC46A1,
ADAM12,OAS1,
ZBTB40,PRMT7,
PLA2G2A,DOHH,
MALL,TMEM129,
COCH,HIGD2A,
TOMM20L,CD81,
LRRC37A5P,SLC48A1,
CHST3,COG4,
FBLN5,MTAP,
TRPA1,RPL23,
CDC23,TGIF2,
RHBDF2,NKD1,
CAMK2A,N4BP2L2,
CNPY4,MAFB,
SFSWAP,ZNF618,
TMEM37,BOD1,
CTCFL,CBX8,
TRPC6,DNAJA2,
DRAM2,NSL1,
CT47A6,MLLT3,
TMEM11,CEP70,
BMP1,RAD9A,
RPS12,CHTOP,
XIAP,C9orf85,
HLA-DOB,FNDC3B,
HAPLN1,LRP2,
ADAMTSL2,PRR5,
FAM118B,NATD1,
C8B,DIPK1B,
TEK,TENT4B,
PAGR1,PITPNM1,
BCL6B,SLC2A8,
TNRC6B,USP20,
UNC5A,ATP13A1,
SH3RF3,ZNF506,
NR2C2,KIF3C,
SOS1,LINC01023,
FGD5,GTDC1,
CYP2U1,ABT1,
NNMT,CD22,
LINC00265,PUS7L,
EMC6,CHD6,
CHST13,HAUS5,
ETV6,GLB1L3,
BRICD5,SCAND1,
CUL1,XAB2,
SNORD89,VTI1B,
LRTM2,SLC25A46,
FAT2,ISG20,
SNHG12,NPRL2,
EFHB,SYS1,
CRLF1,COA3,
UBAP2L,LYSMD3,
FCGBP,RBM8A,
IQCE,SREBF2,
POMC,ANAPC10,
MEF2A,ARMH1,
SSTR1,TATDN2,
PRKCE,SYTL3,
HDAC11,UPP1,
H2AJ,MAML1,
KRT7,CHMP5,
ZNF766,CHN2,
RPS6KA5,ANXA5,
DUSP6,SNRNP35,
ADGRE3,ZBTB2,
PDGFRB,CHCHD7,
CSPG4,SACM1L,
PRKAR1A,ZNF581,
KIF5C,LOC100134868,
SPOUT1,KCNA2,
ZFP64,CRISPLD1,
DIMT1,RFXANK,
TMOD3,SSBP4,
PGPEP1,RIPK3,
IL1B,EDN3,
SMAD9,MRPS16,
MIR155HG,BTBD2,
SHROOM1,NDUFV1,
MTRR,NDUFA2,
CDH17,MXD3,
CPZ,LINC03048,
HINT1,SLC12A6,
FNDC1,TMEM219,
FAM225B,TIMM50,
SWI5,ADAMTS4,
,TMEM134,
,CASP8,
,LOC100289361,
,EEIG1,
,GALC,
,CRLF3,
,ZNF691,
,HELZ2,
,PUF60,
,PQBP1,
,MMP8,
,TIMM13,
,NPPC,
,KLHDC2,
,POLR3GL,
,PHF23,
,ZNF131,
,HESX1,
,UBE2F,
,FGF1,
,MIER1,
,EIF3G,
,DHRS7B,
,C16orf87,
,LOC100130298,
,ZNF586,
,MR1,
,MMAA,
,ASB13,
,EXTL1,
,METTL25B,
,CTBP1,
,NBN,
,USP18,
,RAPGEF1,
,BRD2,
,HSBP1,
,HSPA8,
,ATP5MG,
,THUMPD2,
,LHFPL1,
,MRPL27,
,IFITM3,
,RICTOR,
,TMC7,
,SETX,
,CHMP1A,
,TSEN54,
,TTC28-AS1,
