,MFSD4B,
,CEP55,
,TM4SF1,
,SLC10A7,
,EFCC1,
,BUD31,
,STAP2,
,HARS1,
,APCDD1L-DT,
,RHPN1,
,CMKLR1,
,YKT6,
,TM2D2,
,ATP6V1H,
,FIP1L1,
,ABCB8,
,CCL4,
,FKBP8,
,ATP6V1F,
,MBOAT7,
,ZNRF2,
,CORO1B,
,ZNF775,
,MRPL20,
,VEZF1,
,NMT1,
,MIR3945HG,
,CDC40,
,EIF1B,
,LINC00926,
,NRBP1,
,BRAP,
,NAB1,
,RTN1,
,AGA,
,LILRA1,
,C15orf48,
,PRPSAP1,
,KLC1,
,IRF1,
,TNFRSF12A,
,DNAL4,
,ITGA2,
,CYB561D2,
,RAB13,
,AP5Z1,
,SH3TC2,
,CISD2,
,SIPA1,
,FKRP,
,DUSP4,
,PAK4,
,KCNN4,
,SMCO4,
,DTHD1,
,P4HTM,
,GPI,
,MIR541,
,STARD3,
,MRPL27,
,MSR1,
,RECQL4,
,SEMA4A,
,PDIA3,
,ZNF205,
,C2CD2L,
,SELPLG,
,TK1,
,TBL3,
,RFNG,
,MIR570,
,TSPAN32,
,CCNH,
,DNAJB6,
,ESCO2,
,RRM2B,
,RABEP2,
,FAM241B,
,REPIN1,
,C7orf50,
,TM2D1,
,UMAD1,
,NME1,
,CTU2,
,GPS1,
,KIF13B,
,PACC1,
,MIDN,
,AAMP,
,TRIM66,
,PCDHGA9,
,USP38,
,MRTO4,
