LAMP1,DNAJC2,
STK17A,COX16,
KIF26A,PIGG,
FTSJ3,SEPTIN9,
PCDH17,PPP1R12A,
PABPC4L,ZNF138,
OGG1,RC3H1,
CFAP418,CMC2,
SMIM12,HOXC4,
RPL38,SDE2,
SBF1P1,SKIC8,
FAM219A,N4BP2L2-IT2,
APOE,LSMEM1,
APBA2,CCDC57,
TOR2A,TP53RK,
ZNF607,UTP14C,
AK1,ATP13A1,
PAXIP1-DT,USP39,
CDC34,POC5,
GNB4,FCGR2A,
MYO18A,SLC44A1,
GLOD4,WDR91,
SLC39A3,CDK2AP1,
RCE1,STK40,
CHST13,ZFYVE27,
CLMP,LRP6,
KCNJ10,RP9,
DLST,NFE2L3,
DIRAS1,EXOSC8,
MECR,PRP4K,
VASH2,FDXR,
GCHFR,ALKBH1,
ERBB2,CHCHD6,
AIRE,RELCH,
AZIN1,MAD2L1BP,
NUDT22,CCT6A,
PCIF1,POLR2B,
ASB7,NEURL3,
MBD3,CCDC14,
CIMAP2,C5orf58,
NAGLU,PRKXP1,
POLE4,NT5C3B,
TMEM263,SENP1,
CREB3L4,RBBP6,
JTB,CLEC7A,
MCM8,MCTP1,
POC1A,ZYX,
DMAC2L,ZNF277,
KXD1,CDC16,
ABHD11,POU5F1P3,
NR2C2AP,CHMP2B,
MRPL45P2,GRAMD1A,
PLCB2,MARVELD1,
ZNHIT6,KBTBD2,
COQ6,PPP2R2A,
RAD17,GTPBP2,
IL18,WASL,
SPAG4,FANCL,
ROMO1,INTS9,
TIA1,INTS14,
NCOA7,FERRY3,
EFNB2,MINDY3,
FERMT3,CNOT11,
NFE2L1,LOC254896,
DUSP19,NUFIP2,
NHERF1,ZDHHC4,
ZNF205-AS1,APOBEC3B,
ASPSCR1,HGS,
PTAFR,RAB4B,
SKP2,H3P6,
CBFB,CPSF4,
SLC10A3,RUFY3,
METTL1,PLOD3,
DHRS9,TCHP,
PDCL,TNPO3,
RPS21,CYTH3,
WDR81,RNF19A,
EMC9,SQSTM1,
TMEM256,GYG1,
SLC16A12,ATP6V1B2,
IWS1,RNF114,
CMC1,SNORA7B,
CD320,M6PR,
URI1,SNX33,
ZEB1-AS1,SNORA31,
LSM4,TSR1,
OVCA2,IQCB1,
YWHAQ,IGSF3,
RNF7,SRGAP2,
TRPM6,PSMC1,
TIMM17B,MIR3939,
AMDHD2,OSER1,
FAM153B,ARGLU1,
TCF20,LOC729737,
DSEL,GPATCH2L,
FASTKD3,ALOX12,
MTRR,MARCO,
SLC44A4,UPP1,
OXSM,SELENOP,
BRF2,NUMB,
RTL8A,ECHDC3,
