LINC00472,CDC40,
CCDC3,PPWD1,
NCAPD3,OSTF1,
TUSC1,DGKD,
MIR107,KLHDC4,
HOTAIR,HECA,
MIR1322,IKZF2,
NAE1,ANKRD65,
IER5L,ZNF41,
SCRG1,USP3,
YTHDF2,WDR89,
HIC2,ZNF366,
HOXC10,TEP1,
GPR62,ZNF671,
SGCA,TAPT1-AS1,
DVL3,AMPD3,
TMEM205,ANKMY1,
UTS2,ZNF490,
PLPPR2,ABHD18,
SNRK,SPN,
FAHD2B,STK26,
URM1,LAPTM5,
RAD54L,ANKRD12,
C8orf89,MYCBP2,
KRTAP12-4,LINC03034,
HAX1,IL2RB,
DOLK,FAM78A,
TFE3,ADCY7,
HBG1,CD80,
FLRT3,ZNF792,
CMTM8,ZNF506,
TIMM50,CHD2,
TRIM61,TMPO,
PHLPP1,ANKRD55,
AAR2,IZUMO4,
LINC00628,ZNF100,
ZNF692,IRF3,
ZNF536,ZBTB6,
MRPL35,ZNF709,
RPS26P11,PLEKHF2,
C12orf76,MIR4645,
PTTG3P,ABCA7,
UBQLN1,APOBEC3F,
GPR146,SNX2,
TMEM253,CCM2,
NAV2,PGGT1B,
RGMA,CCDC12,
CD55,IER2,
LL22NC03-63E9.3,TYK2,
GNG10,SHOC2,
HACD3,ZNF764,
LYSMD1,PIAS1,
SERF2,ARID5A,
CNOT10,FYB1,
MTMR9LP,PPP4R3A,
CHRDL2,UNKL,
ZNHIT6,LARGE2,
WNT2B,TNIP2,
HBG2,STYX,
KIF25,LOC100130744,
SCN3B,CASP4LP,
SFTA1P,RUFY4,
P2RX6,SP110,
ADHFE1,RBM14,
PEX26,MED18,
FARP1,CCND3,
ACTRT1,LRCH4,
SPRN,TRG-AS1,
ASB1,RFX5,
C3orf18,ZNF335,
MID1IP1,HHEX,
MARCO,TP53,
GAPDH,CD1D,
PTGDR2,MPEG1,
NPL,JAML,
RPL39,CASP8,
AKR1C6P,FAM107B,
KRTAP4-1,NIPBL,
TMEM219,PCSK7,
SMPDL3B,SF1,
PRKCSH,CCDC65,
ALX3,KMT2B,
DEFB124,APBA3,
POLB,SSH2,
GBP4,CXCL13,
PTPRF,SENP1,
H4C8,TRAPPC14,
H2BW4P,PAOX,
RPS26,MIR3939,
DDX55,TRAV8-6,
SNTG1,MRFAP1L1,
,KLHL36,
,P2RY13,
,CDC42SE1,
,ACTB,
,MITD1,
,SLX4,
,SIPA1L3,
,CD83,
,ZNF169,
,SLC7A6,
,TBC1D9,
,RNGTT,
,CCDC32,
,RAB30,
,FMNL3,
,HDAC3,
,ZNF383,
,ZNF493,
,HDAC7,
,C10orf143,
,ZNF235,
,FBXO38,
,ZNF626,
,ZBED5,
,ARRDC2,
,SGPP1,
,MAT2B,
,TRERF1,
,TCP11L2,
,TENT2,
,RAB8B,
,UNC119,
,BCDIN3D,
,SLC38A1,
,ARPC3,
,UNC93B1,
,CISH,
,CREB1,
,RBMX,
,ARID1A,
,NLRP2,
,RBM22,
,ZSWIM3,
,PFN1,
,ZNF180,
,ATPAF2,
,PTP4A2,
,UBA7,
,NUBP1,
,ATXN7L3,
,GMFG,
,VASP,
,TMSB4X,
,ZBTB49,
,ZC3H4,
,CNOT3,
,CERKL,
,CASP3,
,ARHGEF6,
,CR1,
,CWF19L2,
,STK17A,
,PARM1,
,OGA,
,MYBL1,
,NSD1,
,PIK3AP1,
,TRAF5,
,MBD2,
,SS18L2,
,LOC728743,
,RSPRY1,
,CEP85L,
,C1RL-AS1,
,ZNF138,
,MTF2,
,ZNF33A,
,DENND4B,
,TRMO,
,TNFRSF10A,
,ING3,
,NOP14,
,PPP1R18,
,TSPAN33,
,RICTOR,
,ISCU,
,TNFRSF4,
,TMEM170A,
,ZNF487,
,INPP5B,
,ZNF429,
,ZNF776,
,OTULIN,
,SAMD9,
,MAP3K14-AS1,
,CWC25,
,THAP11,
,CAPZA1,
,CSNK1G2,
,VSIR,
,BICRAL,
,NCOA5,
,NPAT,
,PLCB2,
,TRAV13-1,
,DCLRE1C,
,MED26,
,BOD1L1,
,ZNF548,
,ZC3H18,
,SEPTIN6,
,ACTR3,
,IRF5,
,PBX2,
,CCND2,
,BRD2,
,NOP53,
,ANAPC2,
,PTPN18,
,SLTM,
,PTBP3,
,PREX1,
,PRPF38B,
