CCT4,MYEF2,
SFRP1,CFAP221,
JTB,BBOF1,
POLD4,RARB,
BRD3OS,SLC24A1,
HOXA2,RNF152,
RHOF,SLC17A9,
NAXE,LOC100505715,
PAPOLG,NAGS,
C1orf52,ZNG1F,
UROD,OR2L2,
ZBED5,RHEB,
EMC7,HPS4,
PTRH1,MRE11,
CTSL3P,RNASE4,
GCC2,TRIB3,
TMEM11,DZIP3,
CYSTM1,DUS1L,
TRPV2,CISD2,
SRARP,ACSL3,
RAPGEF4,LRRC45,
POLE4,FAM43A,
ANKRD34B,TMEM33,
BAP1,RGMA,
REM2,CTLA4,
CPSF2,TPRA1,
ZNF337,POMP,
ICA1L,ARRDC3,
LAMB2,HYAL1,
TBL3,BPHL,
SDSL,AUP1,
MRPS11,PHLDB2,
RILPL2,GIPC1,
CCNDBP1,TCEA3,
ERVK13-1,KCNH8,
CADPS2,SPATS2,
PYM1,FXYD1,
CHD6,CWF19L2,
LINC00626,CRHR1,
SLC22A15,ECHDC3,
FAM8A1,JPT1,
GPX1,ZNF429,
PCDH7,TDRD3,
PRPF6,MSL3B,
CTSH,ALDOC,
EIF2S3,CEP120,
CAPRIN1,SMCP,
NCL,TNN,
ST13,APBB1,
CSGALNACT1,MATN2,
DDA1,TTL,
POLH,SLC44A1,
ATL3,RIDA,
UBE2W,NUMA1,
NORAD,ITGB1,
GSK3B,PSD2,
STOML2,MIR4667,
SLC25A13,ZNF789,
HPS1,BIN3,
STUM,PALB2,
SNORA26,DEGS1,
HBP1,ZMYM2,
OFD1,AQP6,
MBOAT1,MEGF9,
ZNF785,CALD1,
SNPH,DEPDC7,
FOXP1-IT1,MAN1A1,
GSDME,HSPB9,
RETSAT,MEX3B,
TXNDC17,CDK18,
THAP9,PLCL2,
MARK1,ZNF800,
HGC6.3,WNT6,
CNTNAP3B,ZEB1-AS1,
TP53I3,TCP11L1,
HELQ,CRMP1,
DYNLRB1,HACD2,
H2AC6,GGA1,
ASXL2,ZEB1,
SNHG1,NABP1,
ZSCAN9,HDAC6,
NFYA,STIM1,
TRAPPC1,CYP2B7P,
RPP25L,PSD3,
MALSU1,ITGB1BP2,
REV3L,KCTD13,
NELFB,ZNF843,
SLIRP,ACAD8,
CNTD1,GTF3A,
MCOLN1,RAB8B,
SMC1B,SERPING1,
