SLC48A1,,
COG4,,
MTAP,,
RPL23,,
TGIF2,,
NKD1,,
N4BP2L2,,
MAFB,,
ZNF618,,
BOD1,,
CBX8,,
DNAJA2,,
NSL1,,
MLLT3,,
B4GALNT1,,
CEP70,,
RAD9A,,
CHTOP,,
C9orf85,,
FNDC3B,,
LRP2,,
PRR5,,
NATD1,,
DIPK1B,,
TENT4B,,
PITPNM1,,
SLC2A8,,
USP20,,
ATP13A1,,
ZNF506,,
KIF3C,,
TMEM203,,
LINC01023,,
GTDC1,,
ABT1,,
CD22,,
PUS7L,,
CHD6,,
HAUS5,,
GLB1L3,,
FGD3,,
SCAND1,,
XAB2,,
VTI1B,,
SLC25A46,,
ISG20,,
NPRL2,,
RPS20,,
SYS1,,
COA3,,
LYSMD3,,
RBM8A,,
LINS1,,
SREBF2,,
ANAPC10,,
ARMH1,,
TATDN2,,
SYTL3,,
UPP1,,
SEC31B,,
MAML1,,
CHMP5,,
CHN2,,
ANXA5,,
SNRNP35,,
ZBTB2,,
CHCHD7,,
SACM1L,,
ZNF581,,
LOC100134868,,
KCNA2,,
CRISPLD1,,
HERC1,,
RFXANK,,
SSBP4,,
RIPK3,,
EDN3,,
HLA-DPB1,,
MRPS16,,
BTBD2,,
NDUFV1,,
NDUFA2,,
MXD3,,
LINC03048,,
SLC12A6,,
TMEM219,,
TIMM50,,
ADAMTS4,,
TMEM134,,
CASP8,,
LOC100289361,,
EEIG1,,
GALC,,
CRLF3,,
ZNF691,,
HELZ2,,
PUF60,,
PQBP1,,
MMP8,,
TIMM13,,
NPPC,,
KLHDC2,,
POLR3GL,,
PHF23,,
ZNF131,,
HESX1,,
UBE2F,,
FGF1,,
MIER1,,
EIF3G,,
DHRS7B,,
C16orf87,,
LOC100130298,,
ZNF586,,
MR1,,
MMAA,,
ASB13,,
EXTL1,,
METTL25B,,
CTBP1,,
NBN,,
USP18,,
RAPGEF1,,
BRD2,,
HSBP1,,
HSPA8,,
ATP5MG,,
THUMPD2,,
LHFPL1,,
MRPL27,,
IFITM3,,
RICTOR,,
TMC7,,
SETX,,
MED27,,
CHMP1A,,
PXN,,
TSEN54,,
TTC28-AS1,,
MOB3B,,
DNAJC4,,
TMEM70,,
PITPNA-AS1,,
PSME3,,
RPS15,,
C1orf162,,
NHERF1,,
TMC8,,
GORASP1,,
CREBRF,,
ADCK1,,
TMEM101,,
DMAC1,,
HMGB2,,
UBLCP1,,
MRPS33,,
FDXR,,
ARHGEF1,,
SET,,
EPB41L4A-AS1,,
SNX17,,
CCDC28A,,
CNOT8,,
NKIRAS2,,
HNRNPDL,,
BRSK1,,
GGTA1,,
RBM7,,
SLC25A22,,
TADA2A,,
GRAMD2B,,
UTP23,,
LACTB2,,
IER3,,
LETM2,,
POLK,,
SYF2,,
ZNF496,,
STAT2,,
PPP6C,,
ZNF394,,
SIVA1,,
EMILIN2,,
RIOK2,,
CAMK1G,,
RPL34,,
FBXO32,,
MICAL2,,
RPL23A,,
SUGP1,,
N4BP2L1,,
